,Country/ region,Agency,Budget (in millions of US $),Year,Reference
0,United States,National Aeronautics and Space Administration,23500,2022.0,[168][169]
1,China,China National Space Administration,11700,2021.0,[170]
2,Austria Â Belgium Â Czech Republic Â Denmark Â European Union Â Finland Â France Â Germany Â Greece Â Ireland Â Italy Â Luxembourg Â Netherlands Â Norway Â Poland Â Portugal Â Romania Â Spain Â Sweden  Switzerland Â United Kingdom,European Space Agency,7430,2020.0,[171]
3,France,National Centre for Space Studies,3521,2022.0,[172]
4,Japan,Japan Aerospace Exploration Agency,2388,2022.0,[173]
5,Russia,Roscosmos,2011,2022.0,[174]
6,India,Indian Space Research Organisation,1831,2022.0,[175][176]
7,Italy,Italian Space Agency,1750,2020.0,[177]
8,Germany,German Aerospace Center,1424,2021.0,[178]
9,Spain,Agencia Espacial EspaÃ±ola,739,2023.0,[179]
10,South Korea,Korea Aerospace Research Institute,701,2021.0,[180]
11,United Kingdom,UK Space Agency,604,2021.0,[181]
12,Canada,Canadian Space Agency,460,2019.0,[182]
13,Algeria,Algerian Space Agency,394,2020.0,[183]
14,Belgium,Interfederal Space Agency of Belgium,260,2020.0,[184]
15,Switzerland,Swiss Space Office,177,2019.0,[171]
16,Netherlands,Netherlands Space Office,150,2022.0,[185]
17,Sweden,Swedish National Space Agency,120,2022.0,[186]
18,Ukraine,State Space Agency of Ukraine,107,2022.0,[187]
19,Norway,Norwegian Space Agency,103,2019.0,[188]
20,Turkey,Turkish Space Agency,87,2023.0,[189]
21,Austria,Austrian Space Agency,75,2020.0,[190]
22,Brazil,Brazilian Space Agency,68,2022.0,[191]
23,Poland,Polish Space Agency,64,2020.0,[192]
24,Argentina,ComisiÃ³n Nacional de Actividades Espaciales,63,2022.0,[193]
25,Indonesia,National Institute of Aeronautics and Space,54,2022.0,[194][195]
26,Pakistan,Space and Upper Atmosphere Research Commission,50,2019.0,[196][197]
27,Philippines,Philippine Space Agency,38,2019.0,[198]
28,Nigeria,National Space Research and Development Agency,36,2020.0,[199]
29,Australia,Australian Space Agency,35,2020.0,[200][201]
30,Israel,Israel Space Agency,17,2020.0,[202]
31,South Africa,South African National Space Agency,15,2020.0,[203]
32,Iran,"Iranian Space Agency, Iranian Space Research Center and Aerospace Research Institute",9,2020.0,[204]
33,Mexico,Mexican Space Agency,4,2022.0,[205]
34,Chile,Chilean Space Agency,1,2014.0,
35,World,All space agencies (Total of listed budgets),"About 62,000",nan,
