Agency (country/region),Budget (in millions of US $)
NASA (United States),23500
CNSA (China),11700
ESA (Europe),7430
CNES (France),3521
JAXA (Japan),2388
Roscosmos (Russia),2011
ISRO (India),1831
ASI (Italy),1750
DLR (Germany),1424
AEE (Spain),739
KARI (South Korea),701
UKSA (United Kingdom),604
CSA (Canada),460
ASA (Algeria),394
ISAB (Belgium),260
SSO (Switzerland),177
NSO (Netherlands),150
SNSA (Sweden),120
SSAU (Ukraine),107
NOSA (Norway),103
TUA (Turkey),87
ALR (Austria),75
AEB (Brazil),68
CONAE (Argentina),63
LAPAN (Indonesia),54
PhilSA (Philippines),38
ISA (Israel),17
"ISA, ISRC and ARI (Iran)",9
